Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
79,RANCHI,31,29,27,30,29,32,38,21,29,26,29,33,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,27,30,29,32,38,21,29,26,29,33,354
80,SRINAGAR,20,14,30,20,28,35,48,25,20,24,26,20,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,30,20,28,35,48,25,20,24,26,20,310
81,SURAT,86,92,72,60,65,42,71,79,69,75,60,94,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,3,1,1,5,3,4,25,86,96,73,61,66,43,74,80,70,80,63,98,890
82,THIRUVANANTHAPURAM,152,163,131,120,144,133,140,160,137,147,147,130,1704,1,2,1,1,3,0,1,4,0,2,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,153,165,132,121,147,133,141,164,137,149,147,131,1720
83,THRISSUR,204,192,186,172,207,153,185,170,164,187,174,216,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,4,3,2,5,5,0,4,5,36,205,192,192,173,211,156,187,175,169,187,178,221,2246
84,TIRUCHIRAPPALLI,47,50,47,35,43,34,44,43,43,52,39,40,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,47,35,43,34,44,43,43,52,39,40,517
85,VADODARA,74,76,59,62,63,46,51,48,44,55,46,55,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,0,0,0,1,1,2,16,74,77,62,65,65,49,51,48,44,56,47,57,695
86,VARANASI,13,14,13,15,14,12,13,15,15,11,15,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,1,2,1,3,2,1,20,15,16,14,17,15,14,14,17,16,14,17,11,180
87,VASAI VIRAR,38,24,29,26,34,29,32,24,21,26,31,21,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,29,26,34,29,32,24,21,26,31,21,335
88,VIJAYAWADA,129,119,116,131,142,118,115,140,103,108,138,140,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,119,116,131,142,118,115,140,103,108,138,140,1499
89,VISHAKHAPATNAM,101,89,90,92,73,75,80,87,59,71,67,82,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,6,101,90,91,93,73,76,80,87,59,71,68,83,972
,TOTAL (CITIES),6360,5961,5759,5351,5811,5540,5727,5371,5002,5403,5435,5508,67228,17,28,22,17,24,13,16,27,26,28,34,16,268,127,125,114,150,131,125,140,133,152,126,126,119,1568,6504,6114,5895,5518,5966,5678,5883,5531,5180,5557,5595,5643,69064
